structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,rejection_reason,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,95,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1582.13087719,0.000104039172607,189.486509822,1.246042283e-05,0.00747935667164,0.000170984225023,211533.01636,4835.81816687,-0.000596743800933,5.94665968354,-0.00369232744066,0.788974489671,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,41,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1589.0503912,0.00177567149314,188.66139152,0.000210818144367,0.0325866132313,0.00540967800777,48763.9012966,8095.25686365,-0.000104716586941,-2.40950305892,0.00145222593422,0.133174452781,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,99,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1589.0503912,0.00177567149314,188.66139152,0.000210818144367,0.0325866132313,0.00540967800777,48763.9012966,8095.25686365,-0.000104716586941,-2.40950305892,0.00145222593422,0.133174452781,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,46,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1597.90387858,0.00013982504127,187.616077549,1.64173991552e-05,0.00841456415005,0.0002350783262,189897.402894,5305.17835817,-0.000684913952401,-7.16385349262,0.00454563878426,0.653975226216,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,104,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1597.90387858,0.00013982504127,187.616077549,1.64173991552e-05,0.00841456415005,0.0002350783262,189897.402894,5305.17835817,-0.000684913952401,-7.16385349262,0.00454563878426,0.653975226216,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,47,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1599.92408835,0.000115010968791,187.379176414,1.34698019534e-05,0.00666660579297,0.000200609643694,239990.804622,7221.73641284,-0.000579940526415,-1.06436702888,0.000729596937597,0.545277677722,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,105,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1599.92408835,0.000115010968791,187.379176414,1.34698019534e-05,0.00666660579297,0.000200609643694,239990.804622,7221.73641284,-0.000579940526415,-1.06436702888,0.000729596937597,0.545277677722,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,53,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1611.99388591,0.000388859131755,185.976175605,4.48627844092e-05,0.0184179856218,0.00118514093907,87522.8116156,5631.82474345,-0.00112874994041,9.60784636057,-0.00589706007407,0.760686537481,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,111,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1611.99388591,0.000388859131755,185.976175605,4.48627844092e-05,0.0184179856218,0.00118514093907,87522.8116156,5631.82474345,-0.00112874994041,9.60784636057,-0.00589706007407,0.760686537481,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,54,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1614.03224246,0.000358099797685,185.741306843,4.12097866774e-05,0.0194718877433,0.00153400777894,82890.3834972,6530.15746398,-0.00105143410339,13.3257196956,-0.00819425369168,0.778392434688,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,112,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1614.03224246,0.000358099797685,185.741306843,4.12097866774e-05,0.0194718877433,0.00153400777894,82890.3834972,6530.15746398,-0.00105143410339,13.3257196956,-0.00819425369168,0.778392434688,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,55,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1615.33196648,0.000324413263193,185.591856176,3.72731184262e-05,0.00137818195554,0.000724325291959,1172074.52905,616002.278973,-1.14475253963e-05,7.22361895357,-0.00441289174541,0.122729435902,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,113,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1615.33196648,0.000324413263193,185.591856176,3.72731184262e-05,0.00137818195554,0.000724325291959,1172074.52905,616002.278973,-1.14475253963e-05,7.22361895357,-0.00441289174541,0.122729435902,low_R2,,,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,3,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1527.32142404,0.000296923411309,196.286422282,3.81596389472e-05,0.0252675182681,0.000876761477594,60446.0401625,2097.42638458,-0.000887206895888,-14.1210446382,0.00931282590916,0.860075310803,FSR_outlier_or_uncertain,0,0.000419913115259,,
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,73,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1540.20103198,0.000124202119036,194.645018264,1.56962131737e-05,0.00758443324337,0.000334043366741,203073.978312,8944.04541991,-0.000449340259421,18.6963228934,-0.012076615595,0.872844775605,FSR_outlier_or_uncertain,8.44902333873,0.000123701331152,1113.99534647,49.0640189831
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,24,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1557.09907865,0.000122186653101,192.53267959,1.51081739461e-05,0.00801698249533,0.000247327277417,194225.081514,5991.92534664,-0.000502297071044,-0.69357424813,0.000505744990077,0.834351515012,FSR_outlier_or_uncertain,8.44902333873,0.00012269362347,1053.89070559,32.5129745436
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,82,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1557.09907865,0.000122186653101,192.53267959,1.51081739461e-05,0.00801698249533,0.000247327277417,194225.081514,5991.92534664,-0.000502297071044,-0.69357424813,0.000505744990077,0.834351515012,FSR_outlier_or_uncertain,14.4722458079,0.000119129153353,1805.19862883,55.6911379337
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,39,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1586.04357027,0.000109445356805,189.019055731,1.30433100233e-05,0.00957854856765,0.000184364626039,165582.870836,3187.08245248,-0.000820399120263,-3.74565637013,0.00242773728398,0.812006511758,FSR_outlier_or_uncertain,14.4722458079,0.000112765726813,1510.90175152,29.0813224215
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,103,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1595.92982152,0.000170200508915,187.848145925,2.00333683876e-05,0.01372409263,0.000287499603162,116286.727622,2436.03631555,-0.00106442399269,-3.11767064106,0.00201470425028,0.832659440216,FSR_outlier_or_uncertain,10.0644198522,0.000244530552443,733.339545535,15.3623977784
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,56,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1616.05866123,0.000390225735449,185.508400897,4.47942602016e-05,0.0253571595585,0.00170266496782,63731.8488887,4279.42199866,-0.00127169707063,-4.49466194427,0.00283974938337,0.830384567253,FSR_outlier_or_uncertain,10.0644198522,0.000348495547696,396.906436976,26.6512017657
